 Entry     Chosen LUTs         Arel        Gates
 ----- --------------- ------------ ------------
     0      0000000000            0            1
     1      0001011000       0.0625          0.7
     2      0001011100        0.125          0.6
     3      0101011000        0.125          0.6
     4      0001111000        0.125          0.6
     5      0011011000        0.125          0.6
     6      0001011010        0.125          0.6
     7      0001011001        0.125          0.6
     8      1001011000        0.125          0.6
     9      0001011011       0.1875          0.5
    10      0111011000       0.1875          0.5
    11      1001011100       0.1875          0.5
    12      0011111000       0.1875          0.5
    13      1001011010       0.1875          0.5
    14      0001111010       0.1875          0.5
    15      1011011000       0.1875          0.5
    16      0011011010       0.1875          0.5
    17      0101011001       0.1875          0.5
    18      1101011000       0.1875          0.5
    19      0101011010       0.1875          0.5
    20      0001011110       0.1875          0.5
    21      0001011101       0.1875          0.5
    22      0101011100       0.1875          0.5
    23      0001111001       0.1875          0.5
    24      1001011001       0.1875          0.5
    25      0011011001       0.1875          0.5
    26      0101111000       0.1875          0.5
    27      1001111000       0.1875          0.5
    28      0011011100       0.1875          0.5
    29      0001111100       0.1875          0.5
    30      0101011110         0.25          0.4
    31      1001011101         0.25          0.4
    32      0001011111         0.25          0.4
    33      0111111000         0.25          0.4
    34      0111011100         0.25          0.4
    35      1001011011         0.25          0.4
    36      0011111010         0.25          0.4
    37      0101111100         0.25          0.4
    38      0101111001         0.25          0.4
    39      1011011100         0.25          0.4
    40      1001111100         0.25          0.4
    41      1101011001         0.25          0.4
    42      0101011101         0.25          0.4
    43      0101011011         0.25          0.4
    44      0111011010         0.25          0.4
    45      0011011101         0.25          0.4
    46      0101111010         0.25          0.4
    47      0001111011         0.25          0.4
    48      1001111010         0.25          0.4
    49      0011111100         0.25          0.4
    50      1101011010         0.25          0.4
    51      0011011110         0.25          0.4
    52      0001111110         0.25          0.4
    53      0001111101         0.25          0.4
    54      1011011001         0.25          0.4
    55      0111011001         0.25          0.4
    56      1011111000         0.25          0.4
    57      1001111001         0.25          0.4
    58      1101111000         0.25          0.4
    59      1011011010         0.25          0.4
    60      1111011000         0.25          0.4
    61      0011011011         0.25          0.4
    62      0011111001         0.25          0.4
    63      1101011100         0.25          0.4
    64      1001011110         0.25          0.4
    65      0111111010       0.3125          0.3
    66      1111111000       0.3125          0.3
    67      0111011110       0.3125          0.3
    68      1101111100       0.3125          0.3
    69      1111011010       0.3125          0.3
    70      0111011011       0.3125          0.3
    71      1101011110       0.3125          0.3
    72      0001111111       0.3125          0.3
    73      0011011111       0.3125          0.3
    74      1011111010       0.3125          0.3
    75      0111011101       0.3125          0.3
    76      1111011001       0.3125          0.3
    77      1101011101       0.3125          0.3
    78      1001111011       0.3125          0.3
    79      0101111110       0.3125          0.3
    80      1011111001       0.3125          0.3
    81      0011111101       0.3125          0.3
    82      1111011100       0.3125          0.3
    83      1011011110       0.3125          0.3
    84      0101111101       0.3125          0.3
    85      1011111100       0.3125          0.3
    86      0111111100       0.3125          0.3
    87      0101011111       0.3125          0.3
    88      0011111011       0.3125          0.3
    89      1011011011       0.3125          0.3
    90      1011011101       0.3125          0.3
    91      1001111101       0.3125          0.3
    92      1001011111       0.3125          0.3
    93      0111111001       0.3125          0.3
    94      1101111001       0.3125          0.3
    95      0101111011       0.3125          0.3
    96      1101111101        0.375          0.2
    97      0111111110        0.375          0.2
    98      1001111111        0.375          0.2
    99      1111011110        0.375          0.2
   100      0011111111        0.375          0.2
   101      0111011111        0.375          0.2
   102      1011111110        0.375          0.2
   103      1011111101        0.375          0.2
   104      1101111110        0.375          0.2
   105      0101111111        0.375          0.2
   106      1101011111        0.375          0.2
   107      1111111010        0.375          0.2
   108      1011011111        0.375          0.2
   109      1111111001        0.375          0.2
   110      1101111011        0.375          0.2
   111      1011111011        0.375          0.2
   112      1111011011        0.375          0.2
   113      0111111011        0.375          0.2
   114      1111111100        0.375          0.2
   115      0111111101        0.375          0.2
   116      1111011101        0.375          0.2
   117      1011111111       0.4375          0.1
   118      1111011111       0.4375          0.1
   119      1111111101       0.4375          0.1
   120      0111111111       0.4375          0.1
   121      1111111011       0.4375          0.1
   122      1111111110       0.4375          0.1
   123      1101111111       0.4375          0.1
   124      1111111111          0.5            0
